Japan,Asia (East),Philippines,Africa (South),Africa (North),Africa (East 1),Africa (East 2),Caribbean,Africa (West),Africa (Central),Middle East,United Kingdom,Ireland,Finland,Scandinavia,Europe (South West),Italy,Europe (South East),Europe (Central),Europe (North East),Pakistan,Sri Lanka,Bangladesh,South America,Ashkenazi,India,ACB,ASW,BEB,CDX,CEU,CHB,CHS,CLM,ESN,FIN,GBR,GIH,GWD,IBS,ITU,JPT,KHV,LWK,MSL,MXL,PEL,PJL,PUR,STU,TSI,YRI
CEU,0.106480707348937,0.107923594208094,0.103996292605297,0.139914463035556,0.0179229235781016,0.0492595206225903,0.110527671327583,0.120510829068376,0.142319412431392,0.141363162724164,0.0112184295155226,0.00100520744383902,0.00183148969958816,0.00669308881773047,0.00128375715853383,0.00297710748169871,0.00473222163527654,0.00273518940194437,0.00194984307415487,0.00359109605540166,0.0216911092147533,0.0397645527348833,0.0362452783604523,0.0297989842282025,0.0108332110561244,0.00971589673386097,0.114850800964842,0.092339260345263,0.0399408604060737,0.108534361418846,0,0.105432666290297,0.107676579080524,0.0156659521537482,0.146552410428329,0.00640692216111058,0.000283315112889434,0.034708651678156,0.141551763205069,0.00236163506584515,0.0405682655040236,0.107168371215002,0.104245630990424,0.134734448407542,0.145740469403196,0.0369071128949477,0.087047920497922,0.0289075144244557,0.0110545515474199,0.0410396872776038,0.00364081484444972,0.145795869001762
CHB,0.0069556621019461,0.00288024865969904,0.015297095623561,0.164259010498754,0.0972110484296655,0.103488967375086,0.140564716564146,0.149537882722969,0.166275504438213,0.165821685932154,0.0934045674006258,0.104658044300197,0.105462770693909,0.0980723037083974,0.104949493242635,0.103370912216625,0.103598783044933,0.102039484459484,0.10330659415974,0.101770307613056,0.0731869228866205,0.0661757618401873,0.0541783427704661,0.0648220933631463,0.10217872217489,0.0733723443967656,0.147870761594847,0.130557522557351,0.056226697433111,0.00877902412166869,0.105432666290297,0,0.00110792402611019,0.0748218854916005,0.171818668105068,0.0978696444924897,0.105482596800633,0.0732364467099286,0.167877006603527,0.10510703484976,0.0690416229080065,0.00682550255124329,0.00628471742194616,0.161404569198157,0.171295233709435,0.0662884682185592,0.0809567448664449,0.0708294632665517,0.0827180225151287,0.0677558790560962,0.104971020248437,0.170949083962511
CHS,0.00888355907373502,0.000897357699899513,0.0119721149255408,0.165375183595088,0.0991820769485388,0.105120527632658,0.141836179208922,0.150770699481937,0.167441842271886,0.167019126207793,0.0954496969182641,0.106725441519189,0.107528962294375,0.100368556448161,0.107057364741916,0.105426051061992,0.105689178575271,0.104144356055194,0.105409944752468,0.103939723791848,0.074870619313716,0.0673622996944844,0.0553043038568276,0.0671372172147471,0.104235636770473,0.0750250619708058,0.149279777238398,0.132068817678959,0.0573983500342724,0.00500901945448935,0.107676579080524,0.00110792402611019,0,0.077127094446673,0.173070310990476,0.10020567173656,0.107730914606087,0.0746351398215558,0.169161673546428,0.107256253271198,0.0703190573758748,0.0087894073886663,0.00333556355408564,0.162675280452806,0.172594313798497,0.0688531080948857,0.0834776618272103,0.0723452675660745,0.0848821879969295,0.0689900883274197,0.107130378501546,0.172235558048498
CLM,0.0757944803012025,0.0785023189826558,0.0763932220685951,0.115111882548006,0.0184706850539735,0.0386793302955639,0.0883069337549082,0.0979816111690674,0.117391150800059,0.115978182419522,0.0170469261110111,0.0171557025088042,0.0179610406791995,0.0192332849111675,0.0177297078747036,0.0151745774103408,0.0162490149678629,0.0159672705332419,0.0169183812790745,0.0176256658708072,0.0201162446496383,0.0315912911237057,0.0267326915363223,0.00526834993082384,0.0197293501010671,0.013042116192923,0.0918153073058157,0.0709847405062983,0.0291898815506247,0.0788495705501622,0.0156659521537482,0.0748218854916005,0.077127094446673,0,0.119971072645495,0.0187680957945864,0.0158828536744835,0.0290411845037728,0.115675756109315,0.0145811435211514,0.0321563088753648,0.0758521746292741,0.074858131165314,0.109260965418171,0.11906802340035,0.00977166041867776,0.0408126910936227,0.0242882287329039,0.00581890521955096,0.0321539708674376,0.0157205604135392,0.119233934665709
ESN,0.17218837010975,0.171342883834015,0.168113551970686,0.00547070833654483,0.0971687280837866,0.0544752660534112,0.0093588276154652,0.00281916734669046,0.00149160261957634,0.00275921897377009,0.12906237337387,0.145029379095603,0.146382725902666,0.148569737413854,0.146831947130508,0.137784056636263,0.139372588443985,0.142085384598766,0.144565807016965,0.145687180472224,0.125636984781766,0.126841356699679,0.126102700469191,0.126994199066441,0.136105474333331,0.125807658944351,0.00371116983199504,0.00942485514405972,0.129478048820152,0.172938050477515,0.146552410428329,0.171818668105068,0.173070310990476,0.119971072645495,0,0.148947958942858,0.147224570184386,0.131944607240713,0.00745068509772711,0.140916192232765,0.130502338817771,0.173282146943438,0.169470545601887,0.00777520214250304,0.00524618917284278,0.139366717057062,0.175303772497788,0.128628375660201,0.10584966825369,0.129734696560921,0.142003999005153,0.000819420303683929
FIN,0.0986074322258694,0.100555480281961,0.0976040935147593,0.142219190519823,0.0257744836651363,0.0547100719381939,0.113349422308651,0.123138943150696,0.144679519015868,0.143677149794821,0.0182210146637346,0.00760575197363905,0.00860233676363851,0.000411180106032516,0.00642377239627664,0.0108563714714686,0.0129927796229963,0.00831469646303241,0.00653555652567419,0.0060426317540884,0.0239738233792848,0.0403445684092452,0.0359508303403641,0.0301615110303985,0.0186243478224541,0.0129979037141163,0.117671821445222,0.095270048890034,0.039539715883173,0.101435816787235,0.00640692216111058,0.0978696444924897,0.10020567173656,0.0187680957945864,0.148947958942858,0,0.00686372217598997,0.0359615363375585,0.144109265348022,0.0103898436112434,0.041235145678677,0.099345420762523,0.097378794491284,0.137190474161805,0.148035371747101,0.0363801630626084,0.0828332926583282,0.0304106086950508,0.0158880451997676,0.0416416399509529,0.0119646244043193,0.148189400062627
GBR,0.106492031815417,0.107881500757549,0.104012664190857,0.140422438144045,0.0183262186115435,0.0496446476886248,0.110931588632692,0.121004020632313,0.142881128223114,0.141914919450813,0.011482005202121,0.00112152922561233,0.00166342737623238,0.00715169643849849,0.00154621721421867,0.00306838046124223,0.00497465628042506,0.00310269757038138,0.00225280897805944,0.00388185906471905,0.0218112927878032,0.0399438829073999,0.0364269173913209,0.0299682567816152,0.0111116233463955,0.00986599739825737,0.11538402996414,0.092742908466512,0.0401264473030928,0.108599764265635,0.000283315112889434,0.105482596800633,0.107730914606087,0.0158828536744835,0.147224570184386,0.00686372217598997,0,0.0349753167950099,0.142238459359287,0.00243056282669423,0.0408168191270236,0.10722279042687,0.104254170303593,0.135278257347056,0.146321858632512,0.0370713533525848,0.0873242759653416,0.0290731564994635,0.0112763903313706,0.0413273269214122,0.00387058856066616,0.146428339519102
GIH,0.074495946341327,0.0755881141157316,0.071798600278275,0.126941721842038,0.0355039723636958,0.0514535724648911,0.100042165473035,0.110657166670679,0.129503227624095,0.127851908615363,0.0240702256208504,0.0363628331508389,0.0369068051614782,0.0364672944440093,0.0365298376863929,0.0358341518516145,0.0338784878229943,0.0334361362433374,0.0351523818154712,0.0351153201364395,0.00528075094537189,0.00426268477495377,0.00442765828323316,0.0351604464925818,0.0354476940263371,0.0102851483326935,0.104738057765572,0.0850031032622973,0.00442949405086364,0.0748777602658199,0.034708651678156,0.0732364467099286,0.0746351398215558,0.0290411845037728,0.131944607240713,0.0359615363375585,0.0349753167950099,0,0.12790644747647,0.0353531611281382,0.00380049428903437,0.0744314629506888,0.0705892744904497,0.120782978749139,0.131262039716364,0.0391720251207103,0.0763151431647688,0.00357304479439896,0.0284461143913754,0.00426989841879126,0.0337246916709193,0.131299864112531
GWD,0.168442682414208,0.167899672926878,0.164675912991234,0.00931332667543871,0.0926114797198284,0.0513666567382948,0.01055732178363,0.00563652658619387,0.00495162912412612,0.00717877096182802,0.12461989446091,0.140409987532001,0.141791029752797,0.143862985149799,0.142137725917691,0.133006868162862,0.134544753567305,0.137367083140147,0.13995446646488,0.141042457446589,0.121662300635704,0.123093079547993,0.122281180766716,0.123090882738932,0.131470981997401,0.121616023429242,0.00625179107126576,0.0103288644456765,0.125566503117146,0.169161315500756,0.141551763205069,0.167877006603527,0.169161673546428,0.115675756109315,0.00745068509772711,0.144109265348022,0.142238459359287,0.12790644747647,0,0.135841408633942,0.126490840852659,0.169293914845601,0.165604032349541,0.0107733682491554,0.00364249088160739,0.13489025138843,0.170995112451692,0.124555752737602,0.101557099716339,0.125726240783307,0.136994780219706,0.00614383561155872
IBS,0.106190658677,0.107688046270447,0.103560730683936,0.134621575262147,0.0121349572563285,0.0434697829988878,0.105172514062914,0.115659018806134,0.137008356804512,0.136004799416236,0.00889430631100088,0.00329238166439024,0.00424888953577029,0.0106136390009842,0.00447330669879925,0.000793828326664795,0.00234549033543639,0.00293048603332297,0.00389204490468135,0.0061104880312149,0.0224578739059939,0.0398204244871751,0.0367168449105527,0.0298364912402329,0.00799150330181212,0.0108576475026325,0.109935447980854,0.0880175041586095,0.0402664780671861,0.108019604097324,0.00236163506584515,0.10510703484976,0.107256253271198,0.0145811435211514,0.140916192232765,0.0103898436112434,0.00243056282669423,0.0353531611281382,0.135841408633942,0,0.0406230097270779,0.106783707541088,0.103802169780797,0.129215348506359,0.140034816996419,0.0371755480829207,0.0885110071140503,0.0294803488065284,0.00895585916700132,0.0411967521856543,0.00156167020726319,0.140134491708065
ITU,0.0703698411706585,0.0712952360849535,0.0675312072562987,0.125771582609354,0.0387922835038758,0.0525763892981701,0.0992248959356379,0.109935359017227,0.128298596852071,0.126603609796115,0.0284169131755455,0.04234965420506,0.0430093362275693,0.0418159811045533,0.0424978707020979,0.0412056519136607,0.0391166489813291,0.0389733940090826,0.0409842802253824,0.0408251347643864,0.0068498763461811,0.001483852666597,0.00296517820430538,0.0372453696793574,0.0403253720023615,0.012375594452579,0.104072014647889,0.0848409828314812,0.00242094431981262,0.0704585690444781,0.0405682655040236,0.0690416229080065,0.0703190573758748,0.0321563088753648,0.130502338817771,0.041235145678677,0.0408168191270236,0.00380049428903437,0.126490840852659,0.0406230097270779,0,0.0702865102977219,0.0662290850191786,0.119515796869507,0.129701888127165,0.0409468724643666,0.0764955333277201,0.00343034788880494,0.0318960627004852,0.00122126154861947,0.0389934820176816,0.129929288140561
JPT,0.000326512200074497,0.0106583861665584,0.021410592295074,0.165659865018727,0.0989593687540453,0.105100966815546,0.142067125410566,0.150934220679798,0.167660865835877,0.167216520770185,0.0951600676956563,0.106326174046765,0.107121460224998,0.0995034528147375,0.106647785265431,0.105051298205326,0.105395270130788,0.103755134835084,0.104972193893273,0.10340858768554,0.0746081925634025,0.0673020900085566,0.0560319502208668,0.065626338038606,0.103873667389421,0.0749685215222792,0.149354845990321,0.132071590099683,0.0578873007759105,0.0170818442683627,0.107168371215002,0.00682550255124329,0.0087894073886663,0.0758521746292741,0.173282146943438,0.099345420762523,0.10722279042687,0.0744314629506888,0.169293914845601,0.106783707541088,0.0702865102977219,0,0.0140666703489839,0.162857927381842,0.172737804498523,0.0669102748684087,0.0812065609374823,0.0721178442147616,0.0841195196714717,0.068839110209281,0.106802064961011,0.172397424777687
KHV,0.0141182132079961,0.00210128308125302,0.0101194226273257,0.162106474598475,0.0957929847193379,0.10167767845171,0.138461145173862,0.147545432191995,0.164222201566155,0.163647051480391,0.0921403656227582,0.103702293866801,0.104452795546728,0.0976722693266548,0.103942472925018,0.102241974253146,0.102348176245882,0.100904578856083,0.102297669724616,0.100871575409124,0.0713305940379147,0.063493521212126,0.0517091341980482,0.0660100771119107,0.101161689856512,0.0715776697488714,0.145538317353726,0.128304936151728,0.0535194854780462,0.00199073186592338,0.104245630990424,0.00628471742194616,0.00333556355408564,0.074858131165314,0.169470545601887,0.097378794491284,0.104254170303593,0.0705892744904497,0.165604032349541,0.103802169780797,0.0662290850191786,0.0140666703489839,0,0.159100652203485,0.168959146345079,0.0677209801425962,0.083915535233508,0.0684587570776928,0.0819813902693151,0.0648319509672215,0.103613083753823,0.168667852473995
LWK,0.16244447799673,0.162266656564439,0.158630683343248,0.00351520274592696,0.087310102836864,0.0439603959416433,0.0032985068826177,0.00615942921477004,0.00690254389634593,0.00447434612689573,0.118377437503128,0.134588086783831,0.135932050227622,0.137175072920066,0.135973784610154,0.127157597973135,0.128373483907458,0.131148978105298,0.133896132946755,0.134823533237786,0.115323498901858,0.116756731569018,0.115748191993949,0.117419899048723,0.125704650079408,0.11534378875074,0.00656315264329146,0.00939309818054388,0.118397902856064,0.162541114899247,0.134734448407542,0.161404569198157,0.162675280452806,0.109260965418171,0.00777520214250304,0.137190474161805,0.135278257347056,0.120782978749139,0.0107733682491554,0.129215348506359,0.119515796869507,0.162857927381842,0.159100652203485,0,0.00941842285696328,0.128238026769769,0.164787946409544,0.117429453284744,0.0957298510092559,0.118789802826378,0.130164125883487,0.00720272551001249
MSL,0.171733378324462,0.171005323816755,0.167723700737379,0.00736429158124322,0.0965614251064035,0.054267080843033,0.0104243552627417,0.00417724611081232,0.00279662085639393,0.0052438533046026,0.128413199345954,0.144473998628697,0.145853316833895,0.147732200880731,0.146153167514743,0.137128476590519,0.138606305812097,0.141332343412512,0.143922955858917,0.144943433695498,0.125027233014081,0.126282004543957,0.12537858613869,0.126325932282011,0.135588382834828,0.125145656565477,0.00482495079357084,0.0100242849528213,0.128671803572742,0.172623054001287,0.145740469403196,0.171295233709435,0.172594313798497,0.11906802340035,0.00524618917284278,0.148035371747101,0.146321858632512,0.131262039716364,0.00364249088160739,0.140034816996419,0.129701888127165,0.172737804498523,0.168959146345079,0.00941842285696328,0,0.138354011644257,0.174688525416414,0.1278177879068,0.104896684201589,0.12892549796732,0.141159967264419,0.00393299418917714
MXL,0.0664507470473157,0.069529142874042,0.0699491542813877,0.133236827318328,0.0401689034648644,0.0582531019061648,0.106435888286568,0.116102958962043,0.135466725568582,0.134399743212219,0.0361757130487043,0.0381873347778325,0.038826013053122,0.0367997881814346,0.0383313899873552,0.0374949490038443,0.0383127762577323,0.0369042016086467,0.0375220931710161,0.0372978390252671,0.0319584636023467,0.0401395338984909,0.0336918741647597,0.00234933043065398,0.0408880869205816,0.0274280258559815,0.11100055510483,0.0893390846577464,0.036103899590551,0.0719688962926339,0.0369071128949477,0.0662884682185592,0.0688531080948857,0.00977166041867776,0.139366717057062,0.0363801630626084,0.0370713533525848,0.0391720251207103,0.13489025138843,0.0371755480829207,0.0409468724643666,0.0669102748684087,0.0677209801425962,0.128238026769769,0.138354011644257,0,0.0180412439370378,0.0347979711002515,0.0197040235457094,0.0409066629922512,0.0380155151555086,0.138511002854193
PEL,0.07995015948802,0.0828437495621151,0.0862223554942987,0.166538048346809,0.087257607061363,0.0999125749090549,0.142058568260885,0.150077188895973,0.168346645640683,0.168306719228336,0.081921288536305,0.0859405587784385,0.0863616729278695,0.0827398353296437,0.0863640440198434,0.0866887760548294,0.0878539098905222,0.0853998755405831,0.0852973021147911,0.0844389394087543,0.0699947558052723,0.0739932044278316,0.0664418122905902,0.0191103265590143,0.0884562779195091,0.06832407171653,0.148967983536758,0.129060908961297,0.0698058346780238,0.087936870142238,0.087047920497922,0.0809567448664449,0.0834776618272103,0.0408126910936227,0.175303772497788,0.0828332926583282,0.0873242759653416,0.0763151431647688,0.170995112451692,0.0885110071140503,0.0764955333277201,0.0812065609374823,0.083915535233508,0.164787946409544,0.174688525416414,0.0180412439370378,0,0.0728254196684147,0.0591680486636382,0.0762383295630212,0.0892554568126406,0.174304100204335
PJL,0.0721972936911704,0.073427532940086,0.0697237138505605,0.123809949833731,0.0303114942855631,0.0472672131432297,0.0966139916918784,0.107365068729001,0.12639838637759,0.124676156372466,0.0189375504486526,0.0305292018677541,0.0310782637412904,0.0309131421398218,0.0307092671171739,0.0300700203953236,0.0281647810850757,0.0276487266439279,0.0294274909158062,0.0294475716908316,0.00259998077424787,0.00373686603474138,0.00365823382055907,0.0308129467802249,0.0300648039469576,0.00696830398629072,0.101126941997258,0.0811391386409356,0.00387186174152161,0.0725914196542138,0.0289075144244557,0.0708294632665517,0.0723452675660745,0.0242882287329039,0.128628375660201,0.0304106086950508,0.0290731564994635,0.00357304479439896,0.124555752737602,0.0294803488065284,0.00343034788880494,0.0721178442147616,0.0684587570776928,0.117429453284744,0.1278177879068,0.0347979711002515,0.0728254196684147,0,0.0233493626895584,0.00370508767542527,0.0279643089108942,0.128037184868978
PUR,0.0841682022023189,0.0865645302333493,0.0832750812792099,0.101509079398047,0.010175024443009,0.0286436681225538,0.0755159043194107,0.0847822804837758,0.103538273656807,0.102185673621831,0.0120215785742332,0.0124173100509598,0.0133713742413311,0.0162271011960043,0.0132373423692008,0.00941316559104893,0.010442981049127,0.0109861033055676,0.0123099794749974,0.0136334852963746,0.0187052662362701,0.0313971088575313,0.0274866474836892,0.014324101625032,0.0140912985476089,0.0108199764247803,0.0786507761935791,0.0590608840058588,0.0300457719667615,0.0860133698917755,0.0110545515474199,0.0827180225151287,0.0848821879969295,0.00581890521955096,0.10584966825369,0.0158880451997676,0.0112763903313706,0.0284461143913754,0.101557099716339,0.00895585916700132,0.0318960627004852,0.0841195196714717,0.0819813902693151,0.0957298510092559,0.104896684201589,0.0197040235457094,0.0591680486636382,0.0233493626895584,0,0.0320318467337075,0.00993541177108929,0.105101715341789
STU,0.0689628282908969,0.0699032252616336,0.0661372375268646,0.125053715005673,0.0389824029647934,0.0523570935463654,0.0985810084384687,0.109243887311949,0.127530783030561,0.125874353908096,0.0291884106309757,0.0429074310985998,0.0435495619087581,0.042284453586913,0.043046575678735,0.0416857379016517,0.0397273529397728,0.0395679896724856,0.0416126331286038,0.041415499139093,0.00740545529378697,0.000339887435040447,0.00284897297135146,0.0371840917872326,0.0409695683210324,0.0125849749910422,0.10338288376506,0.0842616574697944,0.00224832803728038,0.0690455468488563,0.0410396872776038,0.0677558790560962,0.0689900883274197,0.0321539708674376,0.129734696560921,0.0416416399509529,0.0413273269214122,0.00426989841879126,0.125726240783307,0.0411967521856543,0.00122126154861947,0.068839110209281,0.0648319509672215,0.118789802826378,0.12892549796732,0.0409066629922512,0.0762383295630212,0.00370508767542527,0.0320318467337075,0,0.0396065557549404,0.129148256697982
TSI,0.106217280514773,0.10756560720067,0.10354438055761,0.135658834045949,0.0115452970487788,0.0428641545595827,0.105938905885772,0.116783820670724,0.138095528605191,0.137092662221715,0.00586251902654245,0.00466913070686207,0.00600581355324466,0.012212727987244,0.00584318718664987,0.00211839436677102,0.00107761991538331,0.0026582144463367,0.00468235327874087,0.00705938415981322,0.0206778104629779,0.0382997911724643,0.0356211656392601,0.0307316849509835,0.0063914508480576,0.0108490618561953,0.111069123811834,0.0891822348518737,0.0390942405116989,0.107872404563345,0.00364081484444972,0.104971020248437,0.107130378501546,0.0157205604135392,0.142003999005153,0.0119646244043193,0.00387058856066616,0.0337246916709193,0.136994780219706,0.00156167020726319,0.0389934820176816,0.106802064961011,0.103613083753823,0.130164125883487,0.141159967264419,0.0380155151555086,0.0892554568126406,0.0279643089108942,0.00993541177108929,0.0396065557549404,0,0.14122840919493
YRI,0.171399971703741,0.170601382597886,0.167422932548697,0.00502985877306786,0.0963731764755093,0.0536797856798453,0.00869954952525349,0.00215968948774168,0.000614911741211714,0.00243542625314109,0.128359702091913,0.144239309809819,0.145602012736709,0.147820313981821,0.146062134855387,0.137007352541475,0.138608669148762,0.14132931323625,0.143837771990757,0.144961671614769,0.125001350846375,0.126224844972559,0.12548196672414,0.126233742819326,0.13534007838414,0.125136948634724,0.00295037085345181,0.00867063555711362,0.128902549871552,0.172199290160987,0.145795869001762,0.170949083962511,0.172235558048498,0.119233934665709,0.000819420303683929,0.148189400062627,0.146428339519102,0.131299864112531,0.00614383561155872,0.140134491708065,0.129929288140561,0.172397424777687,0.168667852473995,0.00720272551001249,0.00393299418917714,0.138511002854193,0.174304100204335,0.128037184868978,0.105101715341789,0.129148256697982,0.14122840919493,0
